Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
317,1/6/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,115,209
317,1/8/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,121,237
317,13-01-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,118,234
317,16-01-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,131,243
317,21-01-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,123,234
317,24-01-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,117,227
317,29-01-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,119,230
317,30-01-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,123,232
317,2/3/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,95,196
317,2/4/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,214,470
317,2/6/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,151,200
317,2/11/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,124,248
317,13-02-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,182,212
317,18-02-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,123,241
317,19-02-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,134,250
317,20-02-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,148,260
317,3/3/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,67,138
317,3/6/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,102,256
317,3/10/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,94,277
317,13-03-03,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,98,186
