Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
8/2/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,20,57
8/5/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,45,83
8/10/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,35,78
13-08-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,20,77
17-08-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,32,76
20-08-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,32,66
24-08-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,32,70
26-08-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,24,49
30-08-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,36,74
9/2/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,36,69
9/4/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,56,114
9/6/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,36,81
13-09-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,52,117
16-09-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,67,149
21-09-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,23,47
10/4/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,72,103
10/6/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,132,182
15-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,95,160
18-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,30,49
20-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,22,32
22-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,30,64
25-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,54,76
27-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,113,174
29-10-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,NA,NA
11/1/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,83,153
11/4/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,92,135
11/9/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,114,161
11/11/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,88,184
16-11-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,108,152
19-11-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,NA,89,185
22-11-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,17,165,249
24-11-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,13,82,139
26-11-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,19,125,203
30-11-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,28,124,181
12/3/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,12.4,102,177
12/5/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,12.4,99,252
12/7/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,12.4,104,188
12/9/2005,Nagaland,Dimapur,Bank Colony,Residential and others,NA,13.3,98,193
13-12-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,19.5,114,264
15-12-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,11.9,114,281
17-12-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,10.7,86,214
20-12-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,13.4,115,208
22-12-05,Nagaland,Dimapur,Bank Colony,Residential and others,NA,20.2,102,181
12/3/2005,Nagaland,Dimapur,Dhobinala,Residential and others,NA,9.9,94,179
12/5/2005,Nagaland,Dimapur,Dhobinala,Residential and others,NA,9.9,108,183
12/7/2005,Nagaland,Dimapur,Dhobinala,Residential and others,NA,13.1,109,194
12/9/2005,Nagaland,Dimapur,Dhobinala,Residential and others,NA,13.6,139,208
13-12-05,Nagaland,Dimapur,Dhobinala,Residential and others,NA,14.4,121,225
15-12-05,Nagaland,Dimapur,Dhobinala,Residential and others,NA,14.9,114,181
17-12-05,Nagaland,Dimapur,Dhobinala,Residential and others,NA,14.2,114,207
20-12-05,Nagaland,Dimapur,Dhobinala,Residential and others,NA,12.8,103,181
22-12-05,Nagaland,Dimapur,Dhobinala,Residential and others,NA,11,101,185
10/4/2005,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,37,233
10/6/2005,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,39,150
15-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,97,238
18-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,29,71
20-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,24,49
22-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,40,72
25-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,29,81
27-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,95,156
29-10-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,104,227
11/1/2005,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,87,232
11/9/2005,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,58,206
11/11/2005,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,99,219
16-11-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,108,207
19-11-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,NA,113,193
24-11-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,14,132,246
26-11-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,16,114,197
30-11-05,Nagaland,Dimapur,Hongkong Market,Residential and others,NA,22,118,216
