Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
70,January - M012002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",20.9,17.6,NA,208
70,February - M022002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",19.6,22.5,NA,233
70,March - M032002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",24.8,7.5,NA,282
70,April - M042002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",23.9,15.3,NA,150
70,May - M052002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",25.3,12.5,NA,162
70,June - M062002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,96
70,July - M072002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",29,11.6,NA,142
70,August - M082002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",17.2,27.4,NA,77
70,September - M092002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",7.5,19.7,NA,96
70,October - M102002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",5.4,20.4,NA,108
70,November - M112002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",9.2,18.8,NA,196
70,December - M122002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",9.2,19.8,NA,259
70,Annual - M132002,Orissa,Angul,Orissa Pollution Control Board,"Residential, Rural and other Areas",16.7,17.7,NA,174
231,January - M012002,Orissa,Nalco,Orissa Pollution Control Board,NA,16.6,11.1,NA,117
231,February - M022002,Orissa,Nalco,Orissa Pollution Control Board,NA,21.3,11.9,NA,131
231,March - M032002,Orissa,Nalco,Orissa Pollution Control Board,NA,22.3,10.7,NA,167
231,May - M052002,Orissa,Nalco,Orissa Pollution Control Board,NA,28.8,13,NA,202
231,June - M062002,Orissa,Nalco,Orissa Pollution Control Board,NA,26.5,15.4,NA,146
231,July - M072002,Orissa,Nalco,Orissa Pollution Control Board,NA,25.3,10.4,NA,83
231,August - M082002,Orissa,Nalco,Orissa Pollution Control Board,NA,11.8,20.6,NA,36
231,September - M092002,Orissa,Nalco,Orissa Pollution Control Board,NA,2.5,7.6,NA,56
231,October - M102002,Orissa,Nalco,Orissa Pollution Control Board,NA,2,17,NA,96
231,November - M112002,Orissa,Nalco,Orissa Pollution Control Board,NA,2.8,20.8,NA,118
231,December - M122002,Orissa,Nalco,Orissa Pollution Control Board,NA,3.2,21,NA,152
231,Annual - M132002,Orissa,Nalco,Orissa Pollution Control Board,NA,14.3,14.6,NA,115
226,January - M012002,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.1,15.4,NA,155
226,February - M022002,Orissa,Rourkela,Orissa Pollution Control Board,NA,8.8,15.9,NA,215
226,March - M032002,Orissa,Rourkela,Orissa Pollution Control Board,NA,8,13.7,NA,190
226,April - M042002,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.6,16.5,NA,231
226,May - M052002,Orissa,Rourkela,Orissa Pollution Control Board,NA,8.9,17.1,NA,207
226,June - M062002,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.8,14.1,NA,137
226,July - M072002,Orissa,Rourkela,Orissa Pollution Control Board,NA,10.1,18.2,NA,139
226,August - M082002,Orissa,Rourkela,Orissa Pollution Control Board,NA,9.8,19.3,NA,100
226,September - M092002,Orissa,Rourkela,Orissa Pollution Control Board,NA,5.5,13.5,NA,84
226,October - M102002,Orissa,Rourkela,Orissa Pollution Control Board,NA,3.9,6.5,NA,96
226,November - M112002,Orissa,Rourkela,Orissa Pollution Control Board,NA,4.5,7,NA,163
226,December - M122002,Orissa,Rourkela,Orissa Pollution Control Board,NA,4.6,10.4,NA,NA
226,Annual - M132002,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.6,14,NA,161
227,January - M012002,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.7,11.9,NA,186
227,February - M022002,Orissa,Rourkela,Orissa Pollution Control Board,NA,7.8,11.2,NA,198
227,March - M032002,Orissa,Rourkela,Orissa Pollution Control Board,NA,8.8,11.5,NA,247
