Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.5,20.9,215,530
1/7/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.3,19.4,174,406
1/10/2008,Orissa,Angul,Industrial Estate,Industrial Areas,8.2,19.6,152,340
15/1/2008,Orissa,Angul,Industrial Estate,Industrial Areas,8.4,21.9,172,311
17/1/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.9,21.4,139,287
21/1/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.6,20.8,172,438
24/1/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.7,21.4,214,330
28/1/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.4,21.3,194,386
31/1/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.6,21.7,184,428
2/4/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.8,21.5,97,144
2/7/2008,Orissa,Angul,Industrial Estate,Industrial Areas,8.2,21,218,376
2/12/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.9,21,162,373
14/2/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.3,23.3,174,359
18/2/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.2,22.9,147,329
21/2/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.8,21.8,140,335
25/2/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.9,21.5,175,451
28/2/2008,Orissa,Angul,Industrial Estate,Industrial Areas,7.7,23.2,184,384
3/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.6,21.3,179,443
3/6/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.7,22.2,245,432
3/10/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.8,21.8,236,422
13/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.1,22.9,276,546
17/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.5,22.9,160,324
20/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.5,20.9,59,234
24/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,5.2,21.8,108,255
27/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,5.8,21,141,351
31/3/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6,21.6,128,342
4/4/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.2,21.7,137,319
4/7/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.7,22.3,130,353
4/10/2008,Orissa,Angul,Industrial Estate,Industrial Areas,5.4,21.7,114,341
15/4/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.6,21.7,159,335
17/4/2008,Orissa,Angul,Industrial Estate,Industrial Areas,6.6,22.8,151,376
21/4/2008,Orissa,Angul,Industrial Estate,Industrial Areas,5.7,21.5,122,290
24/4/2008,Orissa,Angul,Industrial Estate,Industrial Areas,5.4,21.7,135,473
