Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
70,1/4/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.533333333,22.41666667,155,316.6666667
70,1/7/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.483333333,23.28333333,142.6666667,336.3333333
70,1/11/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.65,23.05,145,325
70,14-01-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.7,23.31666667,157.6666667,345
70,18-01-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.616666667,22.61666667,155.6666667,348.3333333
70,21-01-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.566666667,22.88333333,151.3333333,359.3333333
70,24-01-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.45,22.36666667,147,333.3333333
70,28-01-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.333333333,22.18333333,166.3333333,370.3333333
70,2/1/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.6,22.3,164,334.6666667
70,2/4/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.566666667,23.18333333,142.6666667,332.6666667
70,2/8/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.6,22.98333333,155.3333333,341.3333333
70,2/11/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.75,23.2,163.3333333,360
70,15-02-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.833333333,22.95,160,352
70,18-02-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.766666667,23.83333333,158.3333333,360
70,22-02-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.566666667,22.925,163.3333333,343.3333333
70,25-02-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,5.5,22.88333333,168.3333333,372.6666667
70,3/2/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,6.983333333,22.55,172.3333333,388.6666667
70,3/4/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,7.116666667,22.81666667,165.3333333,390.3333333
70,3/8/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,7.3,22.5,165,404.6666667
70,3/11/2010,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,6.733333333,23.1,177.6666667,387.6666667
70,15-03-10,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,6.983333333,23.1,175.3333333,390.6666667
