"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
70,01-02-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,26,157,NA
70,01-06-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,21,221,NA
70,01-09-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,26,217,NA
70,13-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,191,NA
70,16-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,21,174,NA
70,20-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,11,24,188,NA
70,23-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,221,NA
70,25-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,23,160,NA
70,27-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,24,203,NA
70,30-01-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,25,204,NA
70,02-03-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,26,159,NA
70,02-06-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,25,142,NA
70,02-10-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,202,NA
70,13-02-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,23,174,NA
70,17-02-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,9,24,141,NA
70,20-02-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,8,22,171,NA
70,24-02-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,7,22,132,NA
70,27-02-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,10,24,140,NA
70,03-03-14,Odisha,Angul,"Industrial Estate, Angul",Odisha State Pollution Control Board,Industrial Area,12,26,133,NA
