Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
64,3/7/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",6,4.9,NA,116
64,4/1/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",6.2,8.6,NA,105
64,5/2/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",7.5,9.1,NA,147
64,7/1/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",7.5,10,NA,110
93,17-08-88,Pondichery,Pondichery,PNPB,Industrial Area,19,17.5,NA,67
64,8/1/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",10.5,13.1,NA,104
92,21-09-88,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",7.8,8.9,NA,87
93,9/1/1988,Pondichery,Pondichery,PNPB,Industrial Area,21.1,11.5,NA,76
64,9/2/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",8.3,29.8,NA,96
92,10/3/1988,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",4.6,27.1,NA,125
93,10/1/1988,Pondichery,Pondichery,PNPB,Industrial Area,18.3,20.8,NA,116
64,10/3/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",6.6,15.2,NA,116
92,11/2/1988,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",1.9,20.7,NA,147
93,11/1/1988,Pondichery,Pondichery,PNPB,Industrial Area,43.6,23.3,NA,79
64,11/2/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",1.3,5.8,NA,71
92,12/2/1988,Pondichery,Pondichery,PNPB,"Residential, Rural and other Areas",2.5,16.9,NA,161
93,12/1/1988,Pondichery,Pondichery,PNPB,Industrial Area,6.6,87.9,NA,98
64,12/2/1988,Pondichery,Pondichery,Central Pollution Control Board,"Residential, Rural and other Areas",1.5,8.6,NA,66
