Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,7,9.2,66,108
1/4/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,NA,NA,NA,NA
1/8/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,4.6,12.4,57,85
1/11/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,5.3,8.6,53,78
15/1/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,5.3,7.9,60,87
18/1/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,6.9,12.1,75,104
22/1/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,7.6,11.5,56,86
25/1/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,3.9,7.8,51,80
2/1/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,7.1,NA,51,81
2/5/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,7.5,11.6,48,83
2/8/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,8.5,9.6,49,87
2/12/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,8.2,5.3,40,61
15/2/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,9.8,13.1,55,81
19/2/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,9.1,7.6,59,87
22/2/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,7.3,14.6,66,102
26/2/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,5.7,6.8,49,74
29/2/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,5.5,12.4,63,88
3/4/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,5.7,13.9,38,54
3/7/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,6.9,11.6,67,108
3/11/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,NA,NA,NA,NA
14/3/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,NA,NA,NA,NA
18/3/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,4.4,17.1,47,77
21/3/2008,Pondicherry,Pondicherry,PIPDIC,Industrial Areas,NA,NA,NA,NA
