Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
64,1/3/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",NA,NA,43,NA
64,1/5/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",8,12,39,NA
64,1/9/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",8,14,42,NA
64,1/12/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",8,15,28,NA
64,17/01/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,14,35,NA
64,19/01/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",10,14,38,NA
64,23/01/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",9,14,33,NA
64,30/01/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",7,14,36,NA
64,2/2/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",7,14,16,NA
64,2/6/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",7,15,36,NA
64,2/9/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",7,13,32,NA
64,13/02/2012,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",7,15,27,NA
