Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
176,January - M011996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,19.1,35.1,NA,230
61,January - M011996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,15.1,42.3,NA,273
62,January - M011996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",16.8,46.3,NA,267
76,January - M011996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,17.4,47.7,NA,501
301,January - M011996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,23.9,42.6,NA,485
302,January - M011996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",25.2,44.2,NA,505
177,February - M021996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,16.3,36.2,NA,265
176,February - M021996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,14.9,24.5,NA,169
61,February - M021996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,15.4,40.4,NA,358
62,February - M021996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",14.4,43.7,NA,237
76,February - M021996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,21.2,46.6,NA,481
301,February - M021996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,21.7,44.4,NA,503
302,February - M021996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",19.4,45.2,NA,481
177,March - M031996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,11.5,24,NA,196
176,March - M031996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,16.3,23.7,NA,249
61,March - M031996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,11.9,33.4,NA,409
62,March - M031996,Punjab,Ludhiana,Punjab Pollution Control Board,"Residential, Rural and other Areas",15,41.4,NA,143
76,March - M031996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,15.8,43.7,NA,682
301,March - M031996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,17.8,48.6,NA,483
302,March - M031996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.4,48.4,NA,516
177,April - M041996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,19.8,39.1,NA,314
176,April - M041996,Punjab,Jalandhar,Punjab Pollution Control Board,NA,20.1,29.4,NA,314
61,April - M041996,Punjab,Ludhiana,Punjab Pollution Control Board,Industrial Area,16.6,46.4,NA,329
