Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12.8,32.8,NA,395
1/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,11.8,33,NA,376
1/8/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.2,31.2,NA,394
1/10/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.2,34.2,NA,436
1/12/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12.3,33,NA,423
19/1/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.5,36.7,NA,478
2/8/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.5,30.2,NA,425
13/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.8,29.7,NA,425
15/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.8,31.3,NA,425
18/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.8,31.8,NA,405
20/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.5,33.8,NA,417
22/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.7,31.2,NA,412
25/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12.8,33,NA,413
27/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.8,32.5,NA,416
29/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.3,32.2,NA,399
3/4/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.5,35.3,NA,489
3/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.3,31,NA,461
3/10/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.3,32.8,NA,367
13/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12.8,34,NA,371
15/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12,34.8,NA,452
18/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12.2,34.5,NA,451
20/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.3,32.7,NA,380
22/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14,37.8,NA,399
25/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.7,38.2,NA,425
27/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.2,34,NA,425
29/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12,36,NA,371
4/1/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.7,34,NA,371
4/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.8,30.3,NA,367
4/9/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.3,32,NA,392
4/11/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,12.7,30.5,NA,385
21/4/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.2,33.3,NA,405
25/4/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.3,34.8,NA,433
26/4/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14,34.7,NA,465
28/4/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.5,33.7,NA,387
6/9/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,18.5,35.5,NA,428
6/11/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,17.7,40.8,NA,491
15/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15,36.2,NA,382
17/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.5,38.2,NA,456
19/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.2,35.2,NA,450
20/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,24.2,25.7,NA,200
24/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.2,39.8,NA,469
26/6/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.7,36.5,NA,395
7/2/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.7,37.2,NA,387
7/7/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.3,34.7,NA,426
7/9/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.7,36.8,NA,413
14/7/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.5,37.5,NA,523
16/7/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.2,37.5,NA,453
18/7/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,16.3,37.3,NA,471
8/7/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.3,31.5,NA,429
19/8/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.8,35,NA,440
21/8/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15,32,NA,337
27/8/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.7,31.2,NA,389
9/1/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,14.7,33,NA,409
9/3/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,16.7,36.5,NA,416
9/5/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,13.4,40.4,NA,368
9/10/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,15.3,32.3,NA,453
9/12/2008,Punjab,Amritsar,Nagina Soap Factory,Industrial Areas,17.3,35.5,NA,337
