Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
486,1/6/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.7,35.8,220,NA
486,13/01/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.2,35.7,255,NA
486,18/01/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.2,37.8,218,NA
486,20/01/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.3,35,238,NA
486,22/01/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.2,36.3,238,NA
486,27/01/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.2,34.3,243,NA
486,29/01/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.2,37.2,223,NA
486,2/1/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,36.3,226,NA
486,2/3/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,35.3,247,NA
486,2/10/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14,35.8,230,NA
486,15/02/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,35.5,230,NA
486,17/02/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.2,36.5,229,NA
486,19/02/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.7,35.3,212,NA
486,22/02/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16,35.3,243,NA
486,24/02/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.8,35,214,NA
486,26/02/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,36.2,220,NA
486,3/1/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,35.5,234,NA
486,3/3/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.3,36.7,238,NA
486,3/8/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.3,36.7,231,NA
486,3/10/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.7,36.3,219,NA
486,3/12/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.8,39,214,NA
486,17/03/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,35.5,233,NA
486,20/03/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,36.5,233,NA
486,24/03/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,37.2,235,NA
486,29/03/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.2,37.7,222,NA
486,4/3/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.5,38.3,222,NA
486,4/5/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.2,39.8,228,NA
486,4/7/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.2,38.3,242,NA
486,19/04/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.7,40.2,245,NA
486,21/04/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.3,39.5,226,NA
486,26/04/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.3,39.7,229,NA
486,28/04/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.2,37.3,256,NA
486,5/3/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.3,35.7,262,NA
486,5/5/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.2,40,233,NA
486,17/05/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",17.3,35.7,230,NA
486,26/05/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.8,35.5,240,NA
486,6/2/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.3,35.8,261,NA
486,14/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.7,36.3,255,NA
486,16/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.2,38.2,255,NA
486,18/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.7,35.3,204,NA
486,21/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",17,37,233,NA
486,23/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.3,33.8,204,NA
486,28/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.2,34.3,203,NA
486,30/06/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",13.3,33,218,NA
486,7/5/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,37.3,228,NA
486,7/7/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",15.7,38,209,NA
486,7/9/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",16.7,35.7,207,NA
486,7/12/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.3,32.8,218,NA
486,14/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.5,35.5,201,NA
486,16/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.3,34.8,200,NA
486,19/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",13,34.2,228,NA
486,21/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.3,31.5,194,NA
486,23/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",12.3,30.8,192,NA
486,28/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",13,34.2,233,NA
486,30/07/2011,Punjab,Amritsar,"A-1,Platers, Amritsar",Punjab State Pollution Control Board,"Residential, Rural and other Areas",14.7,34.5,181,NA
