"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
487,01-02-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,39,162,NA
487,01-09-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,39,177,NA
487,16-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,37,166,NA
487,18-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,38,176,NA
487,21-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,39,167,NA
487,23-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,35,176,NA
487,28-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,39,194,NA
487,02-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,37,179,NA
487,02-08-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,40,167,NA
487,02-11-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,35,165,NA
487,13-02-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,38,172,NA
487,20-02-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,39,169,NA
487,25-02-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,37,173,NA
487,03-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,39,184,NA
487,13-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,38,167,NA
487,15-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,11,37,166,NA
487,18-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,39,172,NA
487,20-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,38,170,NA
487,25-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,37,168,NA
487,27-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,12,37,163,NA
487,04-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,37,188,NA
487,04-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,38,189,NA
487,04-10-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,37,188,NA
487,15-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,39,195,NA
487,17-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,38,208,NA
487,19-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,39,194,NA
487,22-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,42,214,NA
487,24-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,41,198,NA
487,26-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,39,225,NA
487,29-04-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,41,218,NA
487,05-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,42,206,NA
487,15-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,44,203,NA
487,17-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,45,214,NA
487,20-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,43,192,NA
487,22-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,44,201,NA
487,24-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,45,212,NA
487,27-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,45,219,NA
487,29-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,45,228,NA
487,06-03-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,42,192,NA
487,06-05-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,42,213,NA
487,06-10-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,43,209,NA
487,06-12-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,44,211,NA
487,17-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,42,221,NA
487,19-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,41,224,NA
487,21-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,42,175,NA
487,24-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,44,187,NA
487,26-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,44,190,NA
487,28-06-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,14,41,142,NA
487,07-01-14,Punjab,Amritsar,"Nagina Soap Factory, Batala Road, Amritsar",Punjab State Pollution Control Board,Industrial Area,13,42,178,NA
