Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
243,January - M011996,Rajasthan,Alwar,Andhra Pradesh  Pollution Control Board,NA,29.4,70.4,NA,365
219,January - M011996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,34.9,66.9,NA,309
250,January - M011996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,30.2,67.8,NA,532
20,January - M011996,Rajasthan,Kota,Rajasthan Pollution Control Board,"Residential, Rural and other Areas",7,76.8,NA,90
17,January - M011996,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial Area,6.6,54.2,NA,259
18,January - M011996,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,NA,NA,NA,232
272,January - M011996,Rajasthan,Jodhpur,RPCB,"Residential, Rural and other Areas",35.5,22.7,NA,336
273,January - M011996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",36.2,26.5,NA,518
274,January - M011996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,36.5,25.5,NA,321
293,January - M011996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",11.8,34.2,NA,255
294,January - M011996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",15.2,25.2,NA,260
295,January - M011996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,14.2,41.4,NA,473
296,January - M011996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",12.6,27.9,NA,228
297,January - M011996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,Industrial Area,18.9,27.3,NA,176
298,January - M011996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.8,22.7,NA,138
291,January - M011996,Rajasthan,Chittorgarh,RJPB,Industrial Area,15.9,34.3,NA,92
157,January - M011996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6.1,22.3,NA,161
156,January - M011996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6.7,26.9,NA,237
158,January - M011996,Rajasthan,Jaipur,NA,Industrial Area,8,54.2,NA,289
243,February - M021996,Rajasthan,Alwar,Andhra Pradesh  Pollution Control Board,NA,25.5,77.9,NA,420
219,February - M021996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,33.8,73.7,NA,233
250,February - M021996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,28.9,78.8,NA,369
20,February - M021996,Rajasthan,Kota,Rajasthan Pollution Control Board,"Residential, Rural and other Areas",9.1,55.8,NA,154
18,February - M021996,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,NA,NA,NA,128
17,February - M021996,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial Area,12.5,51.4,NA,443
272,February - M021996,Rajasthan,Jodhpur,RPCB,"Residential, Rural and other Areas",52.4,27.4,NA,370
273,February - M021996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",39.1,28.6,NA,531
274,February - M021996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,38.8,28.9,NA,556
293,February - M021996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",9.9,33.1,NA,357
294,February - M021996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",10.8,26.5,NA,366
295,February - M021996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,12,25.2,NA,546
296,February - M021996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",12,27.7,NA,160
297,February - M021996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,Industrial Area,18.5,28.1,NA,179
298,February - M021996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.7,23.9,NA,138
291,February - M021996,Rajasthan,Chittorgarh,RJPB,Industrial Area,10.5,31,NA,101
157,February - M021996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",8.1,40.9,NA,118
156,February - M021996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6.6,57.8,NA,267
158,February - M021996,Rajasthan,Jaipur,NA,Industrial Area,15.5,72.3,NA,253
245,February - M021996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,24.9,34.4,NA,360
243,March - M031996,Rajasthan,Alwar,Andhra Pradesh  Pollution Control Board,NA,37.1,74.9,NA,526
219,March - M031996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,32.7,76.9,NA,213
250,March - M031996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,28.6,84.7,NA,452
20,March - M031996,Rajasthan,Kota,Rajasthan Pollution Control Board,"Residential, Rural and other Areas",8.5,74,NA,264
18,March - M031996,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,7,59.3,NA,139
17,March - M031996,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial Area,5.9,54.3,NA,341
272,March - M031996,Rajasthan,Jodhpur,RPCB,"Residential, Rural and other Areas",28.6,31.3,NA,209
273,March - M031996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",27.6,40.7,NA,504
274,March - M031996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,50.7,33.5,NA,456
296,March - M031996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",12.2,27.8,NA,209
297,March - M031996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,Industrial Area,18,27.3,NA,122
298,March - M031996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.4,24.8,NA,295
291,March - M031996,Rajasthan,Chittorgarh,RJPB,Industrial Area,10.9,30.9,NA,126
293,March - M031996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",8,29.1,NA,331
294,March - M031996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",8.8,28,NA,384
295,March - M031996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,11.8,28.2,NA,395
157,March - M031996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6,25.2,NA,195
156,March - M031996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6,21.9,NA,310
158,March - M031996,Rajasthan,Jaipur,NA,Industrial Area,10.6,37.9,NA,294
245,March - M031996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,21.8,32.2,NA,286
243,April - M041996,Rajasthan,Alwar,Andhra Pradesh  Pollution Control Board,NA,28.3,75.2,NA,670
219,April - M041996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,28.7,74.1,NA,329
250,April - M041996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,24.7,72.8,NA,645
291,April - M041996,Rajasthan,Chittorgarh,RJPB,Industrial Area,12.2,40.9,NA,121
20,April - M041996,Rajasthan,Kota,Rajasthan Pollution Control Board,"Residential, Rural and other Areas",9.3,46.1,NA,361
18,April - M041996,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,6.2,39,NA,260
17,April - M041996,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial Area,6.5,42.8,NA,371
272,April - M041996,Rajasthan,Jodhpur,RPCB,"Residential, Rural and other Areas",28.4,27.5,NA,278
273,April - M041996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",27.4,28.7,NA,536
274,April - M041996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,33.6,31,NA,435
293,April - M041996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",8,23.2,NA,352
294,April - M041996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",9,21.9,NA,318
295,April - M041996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,10.4,21.7,NA,517
297,April - M041996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,Industrial Area,17.3,27,NA,315
296,April - M041996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",12.4,28.6,NA,673
298,April - M041996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.3,22.3,NA,530
157,April - M041996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6,24.7,NA,199
156,April - M041996,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6,21.6,NA,252
158,April - M041996,Rajasthan,Jaipur,NA,Industrial Area,6,39.4,NA,596
245,April - M041996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,24.7,34.7,NA,415
250,May - M051996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,31.6,79.3,NA,496
243,May - M051996,Rajasthan,Alwar,Andhra Pradesh  Pollution Control Board,NA,25.9,80.1,NA,584
219,May - M051996,Rajasthan,Alwar,Rajasthan Pollution Control Board,NA,21.1,111.9,NA,333
291,May - M051996,Rajasthan,Chittorgarh,RJPB,Industrial Area,11.4,51.7,NA,102
20,May - M051996,Rajasthan,Kota,Rajasthan Pollution Control Board,"Residential, Rural and other Areas",5.8,38.2,NA,179
17,May - M051996,Rajasthan,Kota,Rajasthan Pollution Control Board,Industrial Area,5.8,38.4,NA,324
18,May - M051996,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,5.9,40.7,NA,303
272,May - M051996,Rajasthan,Jodhpur,RPCB,"Residential, Rural and other Areas",23.3,19.9,NA,222
273,May - M051996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",25.3,27.6,NA,469
274,May - M051996,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,Industrial Area,26.3,50.2,NA,451
293,May - M051996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",7.8,36.9,NA,490
294,May - M051996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",7.4,30.2,NA,415
295,May - M051996,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,13.5,43,NA,422
297,May - M051996,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,Industrial Area,17.1,28.3,NA,446
