Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
17,1/1/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,45,158,229
17,1/5/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,31,130,284
17,1/8/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,8,37,81,166
17,1/12/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,10,48,98,232
17,15-01-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,19,41,112,253
17,19-01-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,36,81,189
17,22-01-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,35,128,218
17,29-01-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,30,80,160
17,2/2/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,25,90,166
17,2/5/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,34,101,276
17,2/9/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,19,96,306
17,2/12/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,24,153,392
17,16-02-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,22,176,295
17,19-02-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,27,96,310
17,23-02-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,10,43,138,411
17,26-02-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,9,37,155,365
17,3/1/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,32,116,395
17,3/4/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,35,147,417
17,3/8/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,26,111,383
17,3/11/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,40,112,410
17,15-03-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,39,176,456
17,18-03-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,8,39,194,460
17,22-03-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,29,149,384
17,25-03-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,6,29,250,471
17,29-03-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,28,121,419
17,4/1/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,4,28,104,427
17,4/5/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,25,123,543
17,4/8/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,22,106,486
17,4/12/2004,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,7,21,106,454
17,15-04-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,20,308,519
17,19-04-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,14,77,275
17,22-04-04,Rajasthan,Kota,"Regional Office, RJPB, Anantpura, Kota",Rajasthan State Pollution Control Board,Industrial Area,5,27,127,581
