Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
237,January - M012002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,37,NA,74
237,February - M022002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,8.8,63.1,NA,136
237,March - M032002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,10.8,51.2,NA,136
237,April - M042002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,4.7,46.9,NA,167
237,May - M052002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,10.1,46.2,NA,201
237,June - M062002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,14.5,58.4,NA,163
237,July - M072002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,9.3,53.4,NA,115
237,August - M082002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,8.7,51,NA,55
237,September - M092002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,9.1,61.6,NA,143
237,October - M102002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,11.5,59.3,NA,40
237,November - M112002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,8.1,66.6,NA,74
237,December - M122002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,9.5,67.9,NA,135
237,Annual - M132002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,9.8,54.1,NA,120
238,January - M012002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,41.2,NA,55
238,February - M022002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,8.3,55.8,NA,75
238,March - M032002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,8.3,81.2,NA,72
238,April - M042002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,11.6,64.3,NA,40
238,May - M052002,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,12.1,43.6,NA,48
