Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
86,14-01-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,15,211,375
86,17-01-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,18,210,318
86,21-01-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,25,199,330
86,24-01-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,20,202,297
86,28-01-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,21,179,279
86,31-01-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,20,180,311
86,2/4/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,20,183,354
86,2/7/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,19,154,277
86,2/11/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,18,179,307
86,21-02-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,9,19,205,346
86,25-02-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,16,176,311
86,28-02-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,9,15,158,300
86,3/3/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,15,235,398
86,3/10/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,21,329,458
86,17-03-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,17,155,269
86,20-03-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,16,167,299
86,24-03-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,18,179,320
86,27-03-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,17,226,379
86,31-03-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,18,252,405
86,4/7/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,21,289,465
86,17-04-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,9,16,240,388
86,21-04-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,20,296,431
86,24-04-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,19,256,433
86,28-04-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,16,262,458
86,5/1/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,17,305,335
86,5/12/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,20,290,459
86,15-05-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,20,182,316
86,19-05-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,22,255,445
86,22-05-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,19,294,426
86,26-05-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,18,261,437
86,29-05-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,5,13,171,254
86,6/2/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,4,13,158,286
86,6/5/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,18,252,348
86,6/9/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,4,8,84,179
86,16-06-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,9,21,155,271
86,19-06-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,7,17,239,384
86,23-06-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,19,161,306
86,26-06-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,18,212,353
86,30-06-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,4,11,160,236
86,7/3/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,2,5,138,211
86,7/7/2004,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,22,111,231
86,14-07-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,6,16,130,173
86,17-07-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,20,100,138
86,21-07-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,8,19,166,226
86,24-07-04,Uttar Pradesh,Kanpur,"M/S Associated Chem Pvt Ltd, Fazalganj, Kanpur",Uttar Pradesh State Pollution Control Board,Industrial Area,10,20,131,144
