Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,NA,144,312
1/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,11,151,326
1/10/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,9.9,164,352
13/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,11.9,151,333
17/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,5.7,8.3,165,344
20/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.9,171,390
24/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.9,169,377
27/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.8,171,373
31/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.6,172,379
2/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.8,164,357
2/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,10.3,298,478
2/10/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,10.4,178,368
14/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.2,8.8,212,458
17/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,10.9,150,353
21/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,9.7,230,428
24/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.8,146,321
28/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.9,203,349
3/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10.4,213,365
3/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10.3,149,322
3/9/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10.4,153,313
13/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,9,224,441
17/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,8.5,198,394
24/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,9.9,214,395
28/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,10.4,177,353
31/3/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,9,184,354
4/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.6,121,322
4/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,10.3,182,377
4/10/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,9.5,154,383
13/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.1,211,428
18/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.4,217,394
21/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.6,240,398
25/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.4,203,405
28/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.9,166,363
5/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,10.8,204,396
5/5/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,8.9,189,400
5/9/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,11.3,216,412
5/12/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,8.9,157,370
16/5/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.8,194,421
19/5/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.3,8.3,170,340
23/5/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.9,225,376
26/5/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.4,207,420
30/5/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.2,9.3,193,392
6/2/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,7.5,152,398
6/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,10.5,180,431
6/9/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,9.4,221,426
13/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.1,139,330
16/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,9.3,175,330
20/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,8.9,187,369
23/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.2,9.1,181,391
27/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,9.9,142,384
30/6/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.4,173,381
7/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,9.9,236,404
7/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,8.9,197,372
14/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.2,8.8,125,325
18/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,8.6,105,293
21/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,9.9,151,378
24/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.3,7.8,109,226
25/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.5,8,137,388
28/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,5.8,8,131,351
8/1/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,9.1,154,330
8/4/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,9.5,118,273
8/7/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,8.7,182,380
8/11/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.5,9.1,168,324
18/8/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.2,8.8,134,321
22/8/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.3,8.5,127,350
9/8/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,8.8,154,308
9/12/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,9.1,144,346
15/9/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,10.2,142,302
19/9/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,10,149,297
21/9/2006,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.3,149,323
