Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
18-10-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,19.1,21.2,78,170
22-10-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,21.7,24,96,215
11/1/2007,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,18.9,21.3,78,186
11/5/2007,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,19.6,21.1,82,198
11/12/2007,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,18.4,21.5,82,208
19-11-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,19.8,20.8,74,193
22-11-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,20.8,22.6,87,209
26-11-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,19.8,22.2,80,186
29-11-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,20.2,21.9,81,191
12/3/2007,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,20.9,22.1,78,186
12/6/2007,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,18.3,20.9,61,136
18-12-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,19.1,21.3,62,177
22-12-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,19.7,22.3,77,186
25-12-07,Uttaranchal,Dehradun,Raipur Road,Industrial Areas,20.7,22.2,75,184
1/2/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,29.2,31.7,114,288
1/6/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.1,29.9,110,281
1/9/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.4,29.7,133,295
1/12/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.9,30.3,150,345
16-01-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.3,29.5,149,357
19-01-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.6,29,146,313
22-01-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.2,31,159,344
29-01-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.8,29.5,136,351
2/2/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.1,29.2,156,326
2/5/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.3,29.6,137,303
2/9/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.6,28,140,297
15-02-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,24.9,27.5,98,225
20-02-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26,28,95,231
23-02-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.3,27.9,82,229
15-03-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.6,29.3,109,270
17-03-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.2,28.1,101,244
20-03-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.1,27.9,97,249
23-03-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,25,27.5,96,240
26-03-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,25.4,27.5,103,239
29-03-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.8,29.5,110,261
4/3/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.8,28.7,111,277
4/7/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.4,29.3,102,262
4/10/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.7,27.8,109,273
13-04-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.7,28.4,104,246
17-04-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26,29.8,100,262
20-04-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.6,28,91,248
24-04-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,29.3,31.5,127,334
26-04-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.1,28.8,108,283
5/1/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,24.1,27.9,104,295
5/4/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,27,32.3,115,240
5/8/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.1,29,111,297
5/11/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,24,27.5,92,242
15-05-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.1,29.1,117,268
18-05-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.6,27.1,90,230
22-05-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,29.8,30.1,118,307
25-05-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.5,28.5,108,271
6/1/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,30.9,32.6,125,356
6/6/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.9,30.2,112,303
6/8/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,31.3,33.6,137,372
6/12/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.2,31.2,97,237
15-06-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,NA,NA,68,152
21-06-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.4,29.6,84,212
26-06-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.4,32.3,90,203
29-06-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.3,26.7,84,194
7/3/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,NA,NA,NA,NA
7/5/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,NA,NA,NA,NA
7/10/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.4,28.7,79,199
13-07-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,25,27.2,67,171
17-07-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.1,28.9,73,188
20-07-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.7,28.5,77,196
28-07-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,27.8,29.6,87,205
30-07-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,NA,NA,75,168
8/7/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,23.3,26.7,81,203
8/10/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.4,30.8,85,226
14-08-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,NA,NA,106,243
17-08-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,25.7,28.8,101,241
21-08-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,23.5,25.2,76,198
24-08-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,NA,NA,NA,NA
9/3/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,21.9,24.6,81,183
9/7/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,22.5,24.7,64,143
9/11/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,23.9,25.9,77,203
27-09-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,24.5,27.1,86,219
15-10-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,24.5,27.2,75,174
23-10-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,24.7,27.3,98,236
27-10-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.1,29.1,113,299
30-10-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,24.1,26.2,97,243
11/2/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,25.2,28.6,87,253
11/6/2007,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.6,30.2,69,270
13-11-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,29.3,32.5,93,362
19-12-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.8,28.4,134,293
24-12-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,28,29.1,133,317
27-12-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,28.1,29.7,151,343
31-12-07,Uttaranchal,Dehradun,Clock Tower,Residential and others,26.7,27.4,142,327
