Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
89,19/01/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,31,157.8,NA
89,23/01/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,30,204.84,NA
89,27/01/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,30,217.2,NA
89,2/1/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,27,159.79,NA
89,2/4/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,27,154.68,NA
89,2/9/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,27,142.3,NA
89,14/02/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,27,198.07,NA
89,17/02/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,25,172.72,NA
89,22/02/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,28,150.79,NA
89,25/02/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",23,23,175.72,NA
89,29/02/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,24,267.91,NA
89,3/2/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,28,248.62,NA
89,16/03/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,29,209.46,NA
89,18/03/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",23,26,86.19,NA
89,20/03/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",32,32,144.56,NA
89,30/03/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",31,29,242.78,NA
89,4/3/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,28,260.26,NA
89,4/9/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,27,230.13,NA
89,4/12/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,29,195.23,NA
89,5/2/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",29,29,177.13,NA
89,5/5/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",29,31,215.79,NA
89,5/9/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,30,164.6,NA
89,14/05/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",30,31,194.72,NA
89,17/05/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",32,33,912.39,NA
89,21/05/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",30,31,280.68,NA
89,24/05/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,32,229.78,NA
89,6/7/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,30,261.11,NA
89,6/12/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,30,196.8,NA
89,15/06/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",29,31,224.98,NA
89,19/06/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",30,30,208.09,NA
89,22/06/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",30,33,225.07,NA
89,26/06/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",29,31,144.98,NA
89,29/06/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,30,210.52,NA
89,7/6/2012,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",24,27,103.59,NA
