Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,61.1,350,602
1/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,59.9,156,322
1/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,64,409,628
14/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,67.8,375,637
18/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,76.3,415,737
21/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,62.2,133,316
23/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,57.5,237,419
27/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,59.2,164,321
29/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,55.6,331,560
2/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,70.3,349,659
2/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,71.9,350,708
2/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,66.2,260,572
2/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,72.8,369,723
15/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6,83,321,722
22/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,78.7,202,519
25/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,88,169,413
27/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,80.1,207,487
3/1/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,62.9,162,377
3/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,72.6,188,368
3/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,51.3,77,197
15/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,45,157,343
17/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,55.7,185,417
20/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,65.7,239,464
24/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,68,290,623
26/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,68.7,204,488
28/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6,59.8,170,384
4/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,57.5,135,309
4/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,51.1,103,298
4/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,52.5,86,248
4/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.8,57.1,140,389
18/4/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,50.4,57,167
21/4/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,53.5,84,219
23/4/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,57.7,59,167
26/4/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,48.1,117,275
5/4/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6,61.4,78,222
5/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,53.9,78,169
5/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,56.2,68,157
5/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,44.4,52,127
17/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,63.4,93,204
20/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,55,91,179
23/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,50.6,60,160
25/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,51.3,96,202
28/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,45.1,44,108
6/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,50.6,60,116
6/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.5,41.8,46,109
6/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,47.4,85,199
6/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,51.7,66,175
16/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,45.3,57,143
19/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,53.5,86,181
22/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,41.8,57,129
25/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,39.5,38,104
28/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,43.6,58,135
7/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,55,42,108
7/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,43.4,58,121
7/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,39.8,49,128
13/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,41.9,50,131
17/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,38.5,56,138
21/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,35.9,45,119
23/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,36.4,37,93
26/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,39.4,62,139
8/3/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,37.5,23,63
8/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,39.9,34,113
8/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,37.8,52,153
8/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,40.2,67,155
16/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4,38.6,24,84
18/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,42.9,51,138
22/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,37.3,25,80
25/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,39.1,46,134
27/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.3,39.8,35,93
9/2/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.3,41.6,45,119
9/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.5,43.8,34,93
9/8/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,38.7,43,114
9/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.3,42.7,68,169
14/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,48.9,61,180
19/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,44.4,39,102
22/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.1,32.5,22,62
24/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,40.4,33,82
27/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,45.6,54,120
10/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,51.8,73,177
10/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,51.3,131,263
10/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,53.7,106,237
13/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,51.1,106,249
15/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,43.6,118,258
18/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,48.6,129,304
24/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,44.8,59,146
27/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,48.6,99,211
30/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.5,54.1,128,270
11/4/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,44.1,92,182
11/6/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,57.4,181,351
11/9/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,41.5,163,316
13/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,55.5,110,255
17/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,60.3,197,374
19/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7,66.7,209,406
22/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,65.3,198,398
26/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,58,149,324
28/11/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.1,59.7,223,404
12/5/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,58.8,262,456
12/7/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,71.1,285,484
12/10/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7,68.3,218,417
15/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,50.2,202,422
18/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,64.1,178,308
23/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,79.4,163,307
27/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,75.6,191,355
29/12/2006,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,81.1,158,286
1/2/2006,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,17.2,63.4,476,983
1/5/2006,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14,71.6,433,884
1/10/2006,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.8,66.7,465,959
14/1/2006,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8,73.6,469,1000
18/1/2006,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.1,65.9,575,NA
