Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
593,10/3/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,11,44,64,NA
593,10/7/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,14,45,66,NA
593,10/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,14,44,71,NA
593,15/10/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,14,43,71,NA
593,19/10/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,15,44,87,NA
593,21/10/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,14,43,80,NA
593,27/10/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,41,89,NA
593,31/10/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,11,44,113,NA
593,11/4/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,42,79,NA
593,11/8/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,42,133,NA
593,11/12/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,18,47,146,NA
593,13/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,19,49,204,NA
593,14/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,44,122,NA
593,16/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,44,142,NA
593,20/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,42,160,NA
593,24/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,13,42,246,NA
593,28/11/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,13,47,101,NA
593,12/2/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,13,48,148,NA
593,12/6/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,12,48,117,NA
593,12/10/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,13,48,101,NA
593,14/12/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,13,48,126,NA
593,18/12/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,11,48,149,NA
593,22/12/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,11,48,201,NA
593,26/12/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,11,53,147,NA
593,30/12/2012,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",West Bengal State Pollution Control Board,Industrial Area,11,51,139,NA
386,10/1/2012,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",West Bengal State Pollution Control Board,Industrial Area,19,37,39,NA
