"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
651,01-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,13,75,185,NA
651,01-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,11,64,201,NA
651,01-08-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,12,75,193,NA
651,13-01-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,12,77,181,NA
651,16-01-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,10,78,166,NA
651,21-01-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,11,67,167,NA
651,24-01-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,11,73,195,NA
651,27-01-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,10,63,164,NA
651,30-01-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,11,69,187,NA
651,02-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,8,53,158,NA
651,02-06-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,8,50,186,NA
651,02-10-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,7,46,114,NA
651,13-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,8,51,175,NA
651,18-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,7,46,146,NA
651,21-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,7,57,167,NA
651,25-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,6,50,144,NA
651,28-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,6,41,80,NA
651,03-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,6,41,104,NA
651,03-06-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,7,60,165,NA
651,03-10-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,7,57,159,NA
651,13-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,6,49,131,NA
651,18-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,6,37,98,NA
651,21-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,5,38,123,NA
651,24-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,5,30,62,NA
651,27-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,4,29,47,NA
651,30-03-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,4,30,76,NA
651,04-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,4,29,67,NA
651,04-07-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,3,26,57,NA
651,04-10-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,4,29,73,NA
651,13-04-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,3,22,72,NA
651,17-04-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,3,22,56,NA
651,21-04-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,3,20,89,NA
651,25-04-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,18,70,NA
651,29-04-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,18,62,NA
651,05-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,27,58,NA
651,05-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,3,29,61,NA
651,05-08-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,30,26,NA
651,13-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,21,41,NA
651,16-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,17,38,NA
651,19-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,21,39,NA
651,22-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,18,36,NA
651,25-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,16,24,NA
651,28-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,18,41,NA
651,06-02-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,17,31,NA
651,06-05-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,19,33,NA
651,06-08-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,23,33,NA
651,16-06-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,21,30,NA
651,16-06-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,28,45,NA
651,19-06-14,West Bengal,South Suburban,"Amtala, South Suburban",West Bengal State Pollution Control Board,Industrial Area,2,30,42,NA
