"Station_Name","lat","lon"
"SAWANTWADI ROAD",15.8666372,73.7851423
"MADGOAN JN.",15.2676278,73.9710326
"AURANGABAD",19.8761653,75.3433139
"LUCKNOW JN.",26.8305392,80.9239843
"SHRI MATA VAISHNO DEVI KATRA",33.0308295,74.9490416
"RAJENDRANAGAR TERMINAL",25.6027447,85.1626785
"PATNA JN.",25.6033133,85.1370246
"URKURA",21.3067992,81.6555607
"CST-MUMBAI",18.9398876,72.8354663
"LOKMANYA TILAK TERMINUS",19.0694741,72.891983
"AJNI",21.1269973,79.0826054
"KARMALI",15.4848464,73.9418603
"NAGPUR JN.(CR)",21.154184,79.0874535
"PUNE JN.",18.5284242,73.8738646
"MANGALORE JN",12.866651,74.8792045
"DELHI-SAFDAR JANG",28.5893011,77.2105682
"JABALPUR",23.181467,79.9864071
"BANDRA TERMINUS",19.0625241,72.8413066
"ATARI JN",NA,NA
"SANTRAGACHI JN.",22.5826587,88.2854294
"REWA",34.800053,-82.3652161
"BHOPAL",23.2599333,77.412615
"TRIVANDRUM CENTRAL",8.4869572,76.9526774
"PALANI",10.4489188,77.5209392
"POLLACHI",10.6572737,77.0106693
"HYDERABAD DECCAN",17.3924217,78.4689988
"JAIPUR JN.",26.9196878,75.7880051
"RAJKOT",22.3038945,70.8021599
"CHENNAI CENTRAL",13.0821888,80.2755083
"HATIA",23.2855789,85.3058664
"KOLKATA",22.572646,88.363895
"PURI",19.8133822,85.8314655
"ASANSOL MAIN",23.692191,86.9523199
"DHANBAD JN.",23.7910294,86.4299391
"KUSUNDA",23.7774535,86.3756867
"SONARDIH",23.7970527,86.2628383
"PHULWARTANR",23.7724909,86.2298238
"JASIDIH JN.",24.5156408,86.6437616
"ANAND VIHAR TERMINAL",28.6470843,77.3157711
"DELHI JN.",28.6609677,77.2276704
"HAZRAT NIZAMUDDIN JN",28.5889755,77.2535077
"BIKANER JN.",28.0145884,73.3160072
"HARIDWAR JN",29.9483324,78.1554721
"HANUMANGARH JN.",29.5815012,74.3294199
"SHRI GANGANAGAR",29.9038399,73.8771901
"SADULPUR JN",28.631324,75.386014
"SURATGARH JN.",29.323443,73.906992
"PARVATSAR CITY",26.8856982,74.7644289
"MAKRANA JN.",27.0371828,74.7247203
"JODHPUR JN.",26.283836,73.0225892
"MERTA ROAD JN.",26.7276064,73.9174659
"RATANAGARH JN",NA,NA
"CHURU",28.2925364,74.9707262
"SAHARANPUR JN.",29.9614424,77.5410156
"AMBALA CANTT JN",30.3377034,76.8278782
"PATHANKOT JN.",32.2721981,75.6477348
"JAMMU TAWI",32.7058687,74.8798689
"GORAKHPUR JN.",26.7596174,83.3818111
"BARHNI",27.4975259,82.787235
"CHHAPRA JN.",25.7878258,84.7237049
"BASTI",26.8176796,82.7633133
"KANPUR ANWARGANJ",26.457218,80.3289701
"FARRUKHABAD JN",27.3821694,79.5714452
"BAREILLY CITY",28.3670355,79.4304381
"LALKUA JN.",29.0676175,79.5181884
"JAMALPUR JN.",25.3148307,86.493011
"SAHARSA JN.",25.8733726,86.594274
"JHALAWAR CITY",24.5973494,76.1609838
"KOTA",25.2138156,75.8647527
"NORTH LAKHIMPUR",27.2253189,94.1053307
"MURKEONG SELEK",NA,NA
"GUWAHATI",26.1445169,91.7362365
"SILCHAR",24.8332708,92.7789054
"NEW JALPAIGURI JN",26.6842232,88.442823
"KISHANGANJ",26.0917422,87.9383822
"KATIHAR JN.",25.5479749,87.5651973
"SILIGURI JN.",26.723645,88.413782
"RANGIYA JN.",26.4467216,91.6063694
"RANGAPARA NORTH",26.8213925,92.6825556
"CHENNAI EGMORE",13.0732259,80.2609209
"TIRUNELVELI JN",8.7313945,77.7082141
"ERNAKULAM. JN",9.9697584,76.290888
"PONDICHERRY",11.9415915,79.8083133
"QUILON",51.4987064,-0.1376716
"KOCHUVELI",8.509675,76.8972041
"CHENGALPATTU",12.6839952,79.9833483
"MADURAI JN",9.9204101,78.1103443
"COIMBATORE  JN.",10.9960612,76.9677666
"MARIKUPPAM",12.9237401,78.2689714
"BANGARPET JN.",12.9846782,78.1789961
"YESVANTPUR JN.",13.0238231,77.5508521
"PANDHARPUR",17.6745535,75.3237262
"VISAKHAPATNAM",17.6868159,83.2184815
"BELGAUM",15.8496953,74.4976741
"HOSUR",12.7409127,77.8252923
"WHITE FIELD",33.8222833,-84.5095826
"BAIYYAPPANAHALLI",12.9935666,77.6435896
"DEVANHALLI",13.2417155,77.7137306
"KORBA",22.3594501,82.7500595
"BILASPUR JN.",22.0561061,82.1718547
"PALGHAT TOWN",10.7867303,76.6547932
"KARAIKAL",10.9254398,79.8380056
"NAGORE",10.8127803,79.8391001
"HUBLI JN.",15.3480196,75.1606944
"BIJAPUR JN",16.830056,75.739485
"RAXAUL JN.",26.9868551,84.8447378
"SECUNDERABAD JN.",17.433704,78.5016333
"DARBHANGA JN.",26.1547905,85.9072674
"KACHEGUDA",17.3896726,78.4960144
"TIRUPATI",13.6287557,79.4191795
"KAKINADA PORT",16.9538117,82.2409057
"VIJAYWADA JN.",16.5184698,80.6195229
"KAKINADA TOWN",16.9890648,82.2474648
"KARIM NAGAR",18.4385553,79.1288412
"NARASAPUR",16.4329833,81.6966198
"NAGARSOL",20.1013024,74.542992
"TATANAGAR JN",22.7679095,86.201063
"ADILABAD",19.6640624,78.5320107
"BIDAR",17.9148799,77.5046101
"NEW BONGAIGAON  JN.",26.47546,90.53718
"KRISHNA RAJA PURAM",13.0040167,77.6877765
"NANDED",19.1382514,77.3209555
"NIZAMABAD",18.6725047,78.0940867
"RENIGUNTA JN.",13.638038,79.5068283
"KHARAGPUR",22.34601,87.2319753
"JHARGRAM",22.4549909,86.9974385
"MIDNAPORE",22.4308892,87.3214908
"BALASORE",21.4869337,86.9246005
"SHALIMAR",38.8449162,-94.5119142
"BANKURA",23.164543,87.0624261
"BISHNUPUR",23.0678795,87.3165222
"CHAIBASA",22.5474364,85.8025373
"CHAKARADHARPUR",22.6765454,85.6254997
"SAMBALPUR JN.",21.4835923,83.9606985
"BANASWADI",13.0119571,77.6471307
"KIRANDUL",18.6336444,81.2573899
"BALHARSHAH",19.8390022,79.3634517
"CHANDAFORT",19.9402823,79.3126226
"RANCHI",23.3440997,85.309562
"HOWRAH JN.",22.5839456,88.3434068
"DURG",21.1904494,81.2849169
"MUMBAI CENTRAL",18.970798,72.819512
"NEW DELHI",28.6139391,77.2090212
"GANDHIDHAM JN.",23.068412,70.147656
"AJMER JN.",26.4570946,74.6371962
"UDAIPUR CITY",24.585445,73.712479
"SAI NAGAR SHIRDI",19.7806599,74.4805113
"DADAR",19.021324,72.8424178
"BHUBANESWAR",20.2960587,85.8245398
"CHHATRAPATI SHAHU MAHARAJ TERMINUS",18.9398876,72.8354663
"BHUSAVAL JN.",21.0481732,75.7886058
"SOLAPUR",17.6599188,75.9063906
