"Year ending
 31st March",Month,Teledensity (%age)  - Rural,Teledensity (%age)  - Urban,Teledensity (%age)  - Overall,Teledensity (%age)  - Wireline,Teledensity (%age)  - Wireless,Teledensity (%age)  - Public,Teledensity (%age)  - Private
2009-10,April,15.54,91.03,37.94,3.25,34.69,7.77,30.17
2009-10,May,16.54,91.78,38.88,3.23,35.65,7.79,31.09
2009-10,June,17.1,93.7,39.86,3.22,36.64,7.83,32.03
2009-10,July,17.72,96.14,41.04,3.2,37.84,7.95,33.09
2009-10,August,18.37,98.7,42.27,3.19,39.08,8.04,34.23
2009-10,September,18.97,101.38,43.5,3.19,40.31,8.15,35.35
2009-10,October,19.69,104.23,44.87,3.18,41.69,8.2,36.68
2009-10,November,20.42,107.31,46.32,3.17,43.15,8.3,38.02
2009-10,December,21.19,110.69,47.88,3.16,44.73,8.46,39.43
2009-10,January,22.18,113.78,49.52,3.15,46.37,8.63,40.88
2009-10,February,23.08,116.83,51.08,3.14,47.93,8.77,42.31
2009-10,March,24.31,119.45,52.74,3.14,49.6,8.99,43.75
2010-11,April,24.97,122.39,54.1,3.12,50.98,9.07,45.03
2010-11,May,25.67,124.99,55.38,3.08,52.3,9.11,46.28
2010-11,June,26.47,127.87,56.83,3.06,53.77,9.17,47.66
2010-11,July,27.08,130.88,58.17,3.04,55.13,9.23,48.95
2010-11,August,27.76,134.08,59.63,3.02,56.61,9.39,50.24
2010-11,September,28.46,136.91,60.99,3,57.99,9.56,51.43
2010-11,October,29.25,140.06,62.51,2.98,59.52,9.74,52.77
2010-11,November,30.18,143.95,64.34,2.96,61.38,9.96,54.39
2010-11,December,31.22,147.52,66.17,2.95,63.22,10.19,55.98
2010-11,January'11,32.19,150.2,67.67,2.93,64.74,10.34,57.33
2010-11,February'11,32.99,153.63,69.29,2.92,66.36,10.45,58.84
2010-11,March'11,33.83,156.94,70.89,2.91,67.98,10.55,60.34
2011-12,April,34.51,159.26,72.09,2.89,69.19,10.54,61.54
2011-12,May,35.22,160.91,73.11,2.88,70.23,10.59,62.52
2011-12,June,35.64,162.74,73.97,2.86,71.11,10.64,63.34
2011-12,July,35.97,163.44,74.44,2.85,71.59,10.73,63.71
2011-12,August,36.23,164.48,74.96,2.84,72.12,10.74,64.23
2011-12,September,36.44,165.62,75.48,2.77,72.7,10.69,64.78
2011-12,October,36.81,166.54,76.03,2.76,73.27,10.71,65.32
2011-12,November,37.04,166.53,76.21,2.74,73.48,10.7,65.51
2011-12,December,37.52,167.46,76.86,2.71,74.15,10.69,66.17
2011-12,January'12,38.08,168.44,77.57,2.68,74.89,10.74,66.83
2011-12,February'12,38.57,168.98,78.1,2.68,75.42,10.73,67.37
2011-12,March'12,39.26,169.17,78.66,2.66,76,10.77,67.89
2012-13,April,39.61,168.43,78.71,2.63,76.07,10.67,68.04
2012-13,May,40.21,168.88,79.28,2.6,76.68,10.61,68.68
2012-13,June,40.71,168.62,79.58,2.59,76.99,10.63,68.95
2012-13,July,40.44,163.29,77.79,2.58,75.21,10.64,67.15
2012-13,August,40.24,161.98,77.28,2.57,74.71,10.65,66.63
2012-13,September,40.4,160.75,77.04,2.55,74.49,10.66,66.38
2012-13,October,40.66,159.15,76.75,2.54,74.21,10.67,66.09
2012-13,November,40.54,155.4,75.55,2.53,73.02,10.64,64.91
2012-13,December,39.9,149.55,73.34,2.52,70.82,10.62,62.72
2012-13,January'13,40.11,148.12,73.07,2.5,70.57,10.61,62.46
2012-13,February'13,40.52,146.57,72.9,2.48,70.42,10.61,62.29
2012-13,March'13,41.05,146.64,73.32,2.47,70.85,10.62,62.69
2013-14,April,41.41,145.25,73.16,2.45,70.71,10.41,62.75
2013-14,May,41.7,145.08,73.33,2.43,70.9,10.3,63.03
2013-14,June,41.96,145,73.5,2.42,71.08,10.25,63.25
2013-14,July,41.68,145.69,73.54,2.4,71.13,10.21,63.32
2013-14,August,41.85,145.45,73.6,2.39,71.21,10.15,63.45
2013-14,September,41.75,143.7,73.01,2.38,70.64,10.1,62.91
2013-14,October,42.04,143.96,73.32,2.36,70.96,10.06,63.25
2013-14,November,42.48,144.14,73.69,2.35,71.34,10.08,63.61
2013-14,December,42.71,144.63,74.03,2.34,71.69,9.9,64.13
2013-14,January'14,43.18,145.06,74.5,2.32,72.18,9.74,64.76
2013-14,February'14,43.72,146.15,75.23,2.31,72.92,9.73,65.5
2013-14,March'14,44.01,145.46,75.23,2.3,72.94,9.68,65.55
2014-15,April,44.18,145.49,75.38,2.28,73.1,9.54,65.84
2014-15,May,44.45,145.24,75.51,2.27,73.24,9.39,66.12
2014-15,June,44.55,145.93,75.81,2.25,73.55,9.2,66.61
2014-15,July,44.6,146.4,76.01,2.22,73.79,9.05,66.96
2014-15,August,44.72,147.23,76.37,2.21,74.16,8.99,67.38
2014-15,September,45.01,147.84,76.78,2.2,74.58,8.9,67.88
2014-15,October,45.44,147.79,77.08,2.18,74.89,8.74,68.33
2014-15,November,45.8,147.07,77.12,2.17,74.95,8.54,68.58
2014-15,December,46.14,147.75,77.59,2.16,75.43,8.42,69.17
2014-15,January'15,46.74,148.19,78.16,2.14,76.01,8.3,69.86
2014-15,February'15,47.21,148.96,78.73,2.13,76.6,8.08,70.66
