ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications Received - Scheme wise,RPO Ahmedabad,Normal,14795,65707,378363,08-07-18
Applications Received - Scheme wise,RPO Ahmedabad,Tatkaal,451,1381,7166,08-07-18
Applications Received - Gender wise,RPO Ahmedabad,FEMALE,5919,26139,153731,08-07-18
Applications Received - Gender wise,RPO Ahmedabad,MALE,9322,40942,231774,08-07-18
Applications Received - Gender wise,RPO Ahmedabad,TRANSGENDER,0,2,7,08-07-18
Applications with Aadhaar Number,RPO Ahmedabad,Count of Applications,15241,67083,385512,08-07-18
Applications - Education Wise,RPO Ahmedabad,10TH PASS AND ABOVE,5667,25913,135966,08-07-18
Applications - Education Wise,RPO Ahmedabad,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Ahmedabad,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Ahmedabad,GRADUATE AND ABOVE,4637,21418,115593,08-07-18
Applications - Age Wise Wise,RPO Ahmedabad,Between_18_to_35,7105,31272,169647,08-07-18
Applications - Age Wise Wise,RPO Ahmedabad,Between_36_to_60,4660,20976,125192,08-07-18
Applications - Age Wise Wise,RPO Ahmedabad,GreaterThan60,1123,4656,31834,08-07-18
Applications - Age Wise Wise,RPO Ahmedabad,LessThan18,2353,10179,58839,08-07-18
Application Fee Online Payment - Mode Wise,RPO Ahmedabad,Challan,2020350,6106650,41839150,08-07-18
Application Fee Online Payment - Mode Wise,RPO Ahmedabad,Credit/ Debit Card,11266050,51723350,291843800,08-07-18
Application Fee Online Payment - Mode Wise,RPO Ahmedabad,Online,5330500,21677200,139248950,08-07-18
Applications Received - Service Wise,RPO Ahmedabad,FRESH,10081,43948,243069,08-07-18
Applications Received - Service Wise,RPO Ahmedabad,PCC,634,2780,16599,08-07-18
Applications Received - Service Wise,RPO Ahmedabad,REISSUE,4521,20349,125750,08-07-18
Applications Granted - PV Mode wise,RPO Ahmedabad,No Verification,2021,8748,62872,08-07-18
Applications Granted - PV Mode wise,RPO Ahmedabad,Post Verification,1736,6817,44637,08-07-18
Applications Granted - PV Mode wise,RPO Ahmedabad,Pre Verification,8554,34782,218456,08-07-18
PV Processing Time,RPO Ahmedabad,More than 21 Days,106,278,1438,08-07-18
PV Processing Time,RPO Ahmedabad,Within 21 Days,10788,47134,269414,08-07-18
Applications Received - Scheme wise,RPO Amritsar,Normal,4721,20004,116795,08-07-18
Applications Received - Scheme wise,RPO Amritsar,Tatkaal,89,370,1472,08-07-18
Applications Received - Gender wise,RPO Amritsar,FEMALE,1929,8291,43626,08-07-18
Applications Received - Gender wise,RPO Amritsar,MALE,2881,12078,74616,08-07-18
Applications Received - Gender wise,RPO Amritsar,TRANSGENDER,0,3,8,08-07-18
Applications with Aadhaar Number,RPO Amritsar,Count of Applications,4810,20372,118250,08-07-18
Applications - Education Wise,RPO Amritsar,10TH PASS AND ABOVE,2728,11647,67830,08-07-18
Applications - Education Wise,RPO Amritsar,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Amritsar,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Amritsar,GRADUATE AND ABOVE,531,2256,11909,08-07-18
Applications - Age Wise Wise,RPO Amritsar,Between_18_to_35,2673,11379,67986,08-07-18
Applications - Age Wise Wise,RPO Amritsar,Between_36_to_60,1260,5333,30570,08-07-18
Applications - Age Wise Wise,RPO Amritsar,GreaterThan60,217,831,5472,08-07-18
Applications - Age Wise Wise,RPO Amritsar,LessThan18,660,2829,14222,08-07-18
Application Fee Online Payment - Mode Wise,RPO Amritsar,Challan,196200,795250,5336000,08-07-18
Application Fee Online Payment - Mode Wise,RPO Amritsar,Credit/ Debit Card,1872450,9686750,51690250,08-07-18
Application Fee Online Payment - Mode Wise,RPO Amritsar,Online,3003750,13533450,76846350,08-07-18
Applications Received - Service Wise,RPO Amritsar,FRESH,3409,14605,80904,08-07-18
Applications Received - Service Wise,RPO Amritsar,PCC,184,717,5959,08-07-18
Applications Received - Service Wise,RPO Amritsar,REISSUE,1217,5050,31381,08-07-18
Applications Granted - PV Mode wise,RPO Amritsar,No Verification,475,2203,13004,08-07-18
Applications Granted - PV Mode wise,RPO Amritsar,Post Verification,245,1026,4911,08-07-18
Applications Granted - PV Mode wise,RPO Amritsar,Pre Verification,4141,16910,100137,08-07-18
PV Processing Time,RPO Amritsar,More than 21 Days,1153,7147,32087,08-07-18
PV Processing Time,RPO Amritsar,Within 21 Days,3034,12274,70010,08-07-18
Applications Received - Scheme wise,RPO Bangalore,Normal,15473,15473,57000,25-12-16
Applications Received - Scheme wise,RPO Bangalore,Tatkaal,923,923,4071,25-12-16
Applications Received - Gender wise,RPO Bangalore,FEMALE,6642,6642,25471,25-12-16
Applications Received - Gender wise,RPO Bangalore,MALE,9752,9752,38069,25-12-16
Applications Received - Gender wise,RPO Bangalore,TRANSGENDER,0,0,0,25-12-16
Applications with Aadhaar Number,RPO Bangalore,Count of Applications,16394,16394,63540,25-12-16
Applications - Education Wise,RPO Bangalore,10TH PASS AND ABOVE,5070,5070,19490,25-12-16
Applications - Education Wise,RPO Bangalore,5TH PASS OR LESS,3512,3512,13588,25-12-16
Applications - Education Wise,RPO Bangalore,BETWEEN 6TH AND 9TH STANDARD,2078,2078,7699,25-12-16
Applications - Education Wise,RPO Bangalore,GRADUATE AND ABOVE,5730,5730,22712,25-12-16
Applications - Age Wise Wise,RPO Bangalore,Between_18_to_35,7653,7653,29491,25-12-16
Applications - Age Wise Wise,RPO Bangalore,Between_36_to_60,4923,4923,18658,25-12-16
Applications - Age Wise Wise,RPO Bangalore,GreaterThan60,1398,1398,5584,25-12-16
Applications - Age Wise Wise,RPO Bangalore,LessThan18,2420,2420,9807,25-12-16
Application Fee Online Payment - Mode Wise,RPO Bangalore,Challan,2682000,2682000,12427000,25-12-16
Application Fee Online Payment - Mode Wise,RPO Bangalore,Credit/ Debit Card,12291000,12291000,63429500,25-12-16
Application Fee Online Payment - Mode Wise,RPO Bangalore,Online,6147500,6147500,29784000,25-12-16
Applications Received - Service Wise,RPO Bangalore,FRESH,9603,9603,35845,25-12-16
Applications Received - Service Wise,RPO Bangalore,PCC,329,329,1276,25-12-16
Applications Received - Service Wise,RPO Bangalore,REISSUE,6462,6462,23942,25-12-16
Applications Granted - PV Mode wise,RPO Bangalore,No Verification,5361,5361,21698,25-12-16
Applications Granted - PV Mode wise,RPO Bangalore,Post Verification,1062,1062,4149,25-12-16
Applications Granted - PV Mode wise,RPO Bangalore,Pre Verification,9169,9169,34223,25-12-16
PV Processing Time,RPO Bangalore,More than 21 Days,3242,3242,17857,25-12-16
PV Processing Time,RPO Bangalore,Within 21 Days,3703,3703,18644,25-12-16
Applications Received - Scheme wise,RPO Bareilly,Normal,3367,11495,71392,08-07-18
Applications Received - Scheme wise,RPO Bareilly,Tatkaal,36,173,764,08-07-18
Applications Received - Gender wise,RPO Bareilly,FEMALE,832,2656,16758,08-07-18
Applications Received - Gender wise,RPO Bareilly,MALE,2571,9012,55397,08-07-18
Applications Received - Gender wise,RPO Bareilly,TRANSGENDER,0,0,0,08-07-18
Applications with Aadhaar Number,RPO Bareilly,Count of Applications,3403,11668,72155,08-07-18
Applications - Education Wise,RPO Bareilly,10TH PASS AND ABOVE,1033,3519,19227,08-07-18
Applications - Education Wise,RPO Bareilly,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Bareilly,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Bareilly,GRADUATE AND ABOVE,705,2692,13884,08-07-18
Applications - Age Wise Wise,RPO Bareilly,Between_18_to_35,2294,8015,47339,08-07-18
Applications - Age Wise Wise,RPO Bareilly,Between_36_to_60,718,2343,15914,08-07-18
Applications - Age Wise Wise,RPO Bareilly,GreaterThan60,190,528,4302,08-07-18
Applications - Age Wise Wise,RPO Bareilly,LessThan18,201,782,4600,08-07-18
